region,lat,lon,species_id,gbif_key,basis_of_record,coordinate_uncertainty_m,cell,distance_km,score,effort_percentile,Date,Location_Id,new_mushroom_score,new_black_chant_score,new_parasol_score,new_morel_score,new_st_george_score,new_chant_score,date,old_score,new_score,score_delta,old_percentile,new_percentile,percentile_delta
NE,52.4,6.05,chant,6447826394,HUMAN_OBSERVATION,5000.0,290:20,2.797122471939389,5.07,0.3299476682319197,2026-07-03,Heerde_52.380_6.025,5.941817926807714,2.7407367734457124,5.34099339755477,2.3611059332789885,2.975818085183282,5.60165021097592,2026-07-03,5.07,5.60165021097592,0.5316502109759194,0.3299476682319197,0.2142130207601592,-0.11573464747176049
NE,52.9,6.55,chant,6447845400,HUMAN_OBSERVATION,,293:21,2.2239016046712994,6.43,0.7486936445381859,2026-07-03,Assen_52.920_6.550,6.851159752441524,3.3734182988454964,5.919939257904277,2.9677413107263755,3.6428350926825632,6.775252368880807,2026-07-03,6.43,6.775252368880807,0.3452523688808071,0.7486936445381859,0.7178818927222647,-0.030811751815921218
NE,58.501876,11.481926,chant,6447936788,HUMAN_OBSERVATION,11.0,324:38,1.070577830615744,5.81,0.5717720978939606,2026-07-20,Stora Hedum_58.500_11.500,6.6463666260739815,3.4322682244681215,5.330106994925736,2.6159370616553512,3.121595921112221,6.124806055103368,2026-07-20,5.81,6.124806055103368,0.314806055103368,0.5717720978939606,0.4233894426560138,-0.14838265523794675
NE,58.74,14.58,chant,6447973476,HUMAN_OBSERVATION,1000.0,326:48,0.2885081231002246,5.92,0.4568852419553812,2026-07-24,Tivedstorp_58.740_14.575,6.6569964197348614,4.580477134863087,5.875238234916293,3.7462168653314176,3.888466144914453,6.525569747431169,2026-07-24,5.92,6.525569747431169,0.6055697474311694,0.4568852419553812,0.5855359367383414,0.12865069478296015
NE,53.05,6.2,chant,6448008442,HUMAN_OBSERVATION,5000.0,294:20,2.0073455283318182,7.11,0.762944293606626,2026-07-11,Hoornsterzwaag_53.040_6.175,7.280085069927746,3.4483185169415504,6.414922898253169,3.0713933905340953,3.7945079628894103,7.33115317838311,2026-07-11,7.11,7.33115317838311,0.22115317838310933,0.762944293606626,0.6935967940152753,-0.06934749959135067
NE,61.780594,29.547354,chant,6448014894,HUMAN_OBSERVATION,5.0,342:98,2.6015189861011287,5.78,0.3590063008900676,2026-07-24,Punkaharju_61.800_29.575,5.814001839394424,3.8429848237863817,5.138071930175635,3.4600753612354476,3.7722697168035006,6.937402694760425,2026-07-24,5.78,6.937402694760425,1.1574026947604246,0.3590063008900676,0.8338839841845858,0.4748776832945182
NE,52.85,6.65,chant,6448015076,HUMAN_OBSERVATION,5000.0,293:22,2.013475026429856,6.6,0.7941465119718198,2026-07-04,Borger_52.860_6.625,6.802967393568605,3.4685710115690522,5.980576057812485,3.0614711568116886,3.73628398015487,6.901169430338596,2026-07-04,6.6,6.901169430338596,0.30116943033859656,0.7941465119718198,0.6827705489040548,-0.1113759630677651
NE,52.65,6.4,chant,6448026482,HUMAN_OBSERVATION,,292:21,3.335852407006498,5.11,0.4067912202612055,2026-07-02,Alteveer_52.620_6.400,6.1078157953301275,2.883396374341166,5.381232130044118,2.4228744173538375,2.997007843508483,5.762369126415436,2026-07-02,5.11,5.762369126415436,0.6523691264154357,0.4067912202612055,0.3320926527277321,-0.07469856753347343
NE,52.35,5.8,chant,6448028067,HUMAN_OBSERVATION,5000.0,290:19,3.33585240700501,5.16,0.3446785394255106,2026-07-03,Nunspeet_52.320_5.800,6.030014513733145,2.71606773148637,5.50914542170436,2.5319253737469265,3.0469722612821446,5.697818496291974,2026-07-03,5.16,5.697818496291974,0.5378184962919734,0.3446785394255106,0.2511871229392645,-0.09349141648624609
NE,52.9,6.7,chant,6448203228,HUMAN_OBSERVATION,5000.0,293:22,2.223901604671318,7.49,0.8923178284358946,2026-07-08,Borger_52.920_6.700,6.983081898381643,3.528921096522563,6.112391619398205,3.172334239253884,3.8436115565746527,7.403395678984298,2026-07-08,7.49,7.403395678984298,-0.08660432101570237,0.8923178284358946,0.7726709711424442,-0.11964685729345037
